Year,Type,Country,Activity,Sex,Age,Fatal,Species,Age_missing
2016,Unprovoked,AUSTRALIA,scuba diving,M,24.0,0,great white,1
2025,Unprovoked,USA,swimming,F,55.0,1,great white,0
2025,Unprovoked,USA,surfing,M,24.0,0,great white,1
2025,Provoked,USA,Other,M,24.0,0,blacktip reef,0
2025,Unprovoked,AUSTRALIA,swimming,M,26.0,0,bull,0
2025,Unprovoked,AUSTRALIA,swimming,F,25.0,1,bull,0
2025,Unprovoked,AUSTRALIA,Other,M,61.0,0,great white,0
2025,Unprovoked,OTHER,swimming,M,40.0,0,unknown,0
2025,Unprovoked,USA,swimming,M,24.0,0,unknown,1
2025,Unprovoked,USA,fishing,M,24.0,0,unknown,1
2025,Unprovoked,OTHER,surfing,M,13.0,0,tiger,0
2025,Unprovoked,OTHER,swimming,M,14.0,0,nurse,0
2025,Unprovoked,AUSTRALIA,fishing,M,14.0,0,tiger,0
2025,Unprovoked,AUSTRALIA,surfing,M,24.0,0,bronze whaler,1
2025,Unprovoked,USA,swimming,M,54.0,0,unknown,0
2025,Provoked,OTHER,Other,M,48.0,0,tiger,0
2025,Unprovoked,AUSTRALIA,surfing,M,57.0,1,great white,0
2025,Unprovoked,USA,snorkeling,M,8.0,0,unknown,0
2025,Unprovoked,USA,swimming,F,8.0,0,unknown,0
2025,Unprovoked,AUSTRALIA,surfing,M,24.0,0,great white,1
2025,Unprovoked,BAHAMAS,spearfishing,M,63.0,0,unknown,0
2025,Provoked,USA,fishing,M,24.0,0,lemon,1
2025,Unprovoked,AUSTRALIA,surfing,M,9.0,0,great white,0
2025,Unprovoked,OTHER,wading,F,39.0,0,unknown,0
2025,Unprovoked,AUSTRALIA,Other,M,19.0,0,great white,0
2025,Unprovoked,OTHER,swimming,M,7.0,0,unknown,0
2025,Unprovoked,OTHER,swimming,F,85.0,0,unknown,0
2025,Unprovoked,OTHER,surfing,M,24.0,0,unknown,1
2025,Unprovoked,USA,diving,M,69.0,0,lemon,0
2025,Unprovoked,USA,surfing,M,18.0,0,unknown,0
2025,Unprovoked,BAHAMAS,spearfishing,M,66.0,0,bull,0
2025,Provoked,USA,fishing,M,21.0,0,unknown,0
2025,Unprovoked,USA,surfing,M,40.0,0,unknown,0
2025,Unprovoked,SOUTH AFRICA,fishing,M,37.0,1,unknown,0
2025,Unprovoked,AUSTRALIA,swimming,M,16.0,0,bull,0
2025,Unprovoked,USA,swimming,F,20.0,0,tiger,0
2025,Unprovoked,USA,swimming,F,24.0,0,unknown,1
2025,Unprovoked,USA,swimming,F,12.0,0,unknown,0
2025,Unprovoked,USA,snorkeling,F,9.0,0,bull,0
2025,Unprovoked,USA,surfing,M,42.0,0,great white,0
2025,Unprovoked,USA,swimming,M,26.0,0,unknown,0
2025,Unprovoked,OTHER,swimming,M,14.0,1,unknown,0
2025,Unprovoked,AUSTRALIA,swimming,M,66.0,0,unknown,0
2025,Unprovoked,OTHER,Other,F,26.0,0,unknown,0
2025,Unprovoked,OTHER,diving,M,45.0,1,other,0
2025,Unknown,MEXICO,Other,M,20.0,1,unknown,0
2025,Unprovoked,OTHER,snorkeling,M,30.0,0,unknown,0
2025,Unprovoked,USA,Other,M,24.0,0,unknown,1
2025,Unprovoked,AUSTRALIA,swimming,M,24.0,0,tiger,1
2025,Unprovoked,AUSTRALIA,surfing,M,37.0,1,great white,0
2025,Unprovoked,AUSTRALIA,swimming,F,56.0,0,bull,0
2025,Unprovoked,AUSTRALIA,swimming,M,24.0,0,unknown,1
2025,Unknown,PHILIPPINES,scuba diving,M,29.0,1,unknown,0
2025,Unprovoked,AUSTRALIA,Other,F,35.0,0,unknown,0
2025,Unknown,AUSTRALIA,fishing,M,58.0,1,mako,0
2025,Unprovoked,AUSTRALIA,snorkeling,M,29.0,0,unknown,0
2025,Unprovoked,BAHAMAS,swimming,F,24.0,0,bull,0
2025,Unprovoked,BAHAMAS,swimming,F,20.0,0,bull,0
2025,Unprovoked,OTHER,swimming,F,55.0,0,bull,0
2025,Unprovoked,AUSTRALIA,swimming,F,17.0,1,bull,0
2025,Unprovoked,AUSTRALIA,Other,M,12.0,0,unknown,0
2025,Unprovoked,AUSTRALIA,surfing,M,37.0,0,bronze whaler,0
2025,Unprovoked,MOZAMBIQUE,spearfishing,M,36.0,1,unknown,0
2025,Provoked,USA,diving,M,23.0,0,unknown,0
2025,Unprovoked,NEW CALEDONIA,spearfishing,M,40.0,1,tiger,0
2025,Unprovoked,AUSTRALIA,surfing,M,28.0,1,great white,0
2024,Unprovoked,MOZAMBIQUE,diving,M,24.0,1,unknown,1
2024,Unprovoked,EGYPT,scuba diving,M,69.0,0,tiger,0
2024,Unprovoked,EGYPT,scuba diving,M,48.0,1,tiger,0
2024,Unprovoked,AUSTRALIA,spearfishing,M,40.0,1,unknown,0
2024,Unprovoked,AUSTRALIA,spearfishing,M,24.0,0,unknown,1
2024,Unprovoked,AUSTRALIA,surfing,M,24.0,0,unknown,1
2024,Unprovoked,OTHER,swimming,F,57.0,0,unknown,0
2024,Unprovoked,NEW ZEALAND,diving,M,24.0,1,great white,0
